protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
leach_c,7,44,46,53.5063338393154,0.8917722306552567,33,33,1.0,0.6009515909886125,1.0,1.0,1.0,0.8387085429603398,16.785434728855734,0.6435891793563673,2
leach_c,7,45,45,51.48378433964026,0.8580630723273377,31,30,0.967741935483871,0.6009515909886125,1.0,1.0,1.0,0.8308405448734406,17.94657697249032,0.678517837605929,2
leach_c,7,46,44,49.579533390717536,0.8263255565119589,30,29,0.9666666666666667,0.6009515909886125,1.0,1.0,1.0,0.8212096053213919,19.218955910779407,0.7204483522651116,2
leach_c,7,47,43,47.91054265035554,0.7985090441725923,32,31,0.96875,0.6009515909886125,1.0,1.0,1.0,0.8114887693739671,20.582505367783867,0.6838125999043049,2
leach_c,7,48,41,46.911609593360566,0.7818601598893428,25,23,0.92,0.6009515909886125,1.0,1.0,1.0,0.8330324342183183,22.015721354021736,0.6587719215764688,2
leach_c,7,49,41,45.510454769177414,0.7585075794862902,33,33,1.0,0.6009515909886125,1.0,1.0,1.0,0.8085092072392255,23.496001197228345,0.7325033370362004,2
proposed,7,0,60,118.20226764012533,1.9700377940020888,47,44,0.9361702127659575,0.2000273671578278,0.3333333333333333,0.0,0.2190456110922203,0.9991261017721607,25.0,0.6955215570838345,3
proposed,7,1,60,117.04642026643714,1.9507736711072856,43,40,0.9302325581395349,0.2000273671578278,0.3333333333333333,0.0,0.22491260265058977,0.9985383117328955,26.50399880277165,0.6959764628974334,3
proposed,7,2,60,115.91794646405319,1.9319657744008865,40,37,0.925,0.2000273671578278,0.3333333333333333,0.0,0.24832655744608922,0.9975584461950008,27.984278645978257,0.6374508763391753,3
proposed,7,3,60,114.54529027294979,1.9090881712158299,41,38,0.926829268292683,0.2000273671578278,0.3333333333333333,0.0,0.23892944634773208,0.9946225428359515,29.417494632216133,0.6745800793894892,3
